tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0084376,videoGame,"MysteryDisc: Murder, Anyone?","MysteryDisc: Murder, Anyone?",0,1982,\N,\N,"Adventure,Crime,Mystery",6.0,39.0
tt0085982,videoGame,MysteryDisc: Many Roads to Murder,MysteryDisc: Many Roads to Murder,0,1983,\N,\N,"Adventure,Crime,Mystery",,
tt0105000,videoGame,Night Trap,Night Trap,0,1992,\N,\N,"Adventure,Horror,Mystery",6.2,384.0
tt0109865,videoGame,Gabriel Knight: Sins of the Fathers,Gabriel Knight: Sins of the Fathers,0,1993,\N,\N,"Adventure,Drama,Horror",9.1,720.0
tt0110267,videoGame,King's Quest VII: The Princeless Bride,King's Quest VII: The Princeless Bride,0,1994,\N,\N,"Adventure,Fantasy",7.5,212.0
tt0110714,videoGame,Off-World Interceptor,Off-World Interceptor,0,1994,\N,\N,"Action,Comedy,Sci-Fi",,
tt0110909,videoGame,Psychic Detective,Psychic Detective,0,1995,\N,\N,"Adventure,Fantasy,Mystery",8.5,51.0
tt0111727,videoGame,Wing Commander III: Heart of the Tiger,Wing Commander III: Heart of the Tiger,0,1994,\N,\N,"Action,Adventure,Sci-Fi",8.8,836.0
tt0113863,videoGame,Mr. Payback: An Interactive Movie,Mr. Payback: An Interactive Movie,0,1995,\N,30,"Adventure,Comedy,Sci-Fi",4.7,105.0
tt0114282,videoGame,Ride for Your Life,Ride for Your Life,0,1995,\N,28,"Adventure,Comedy,Sci-Fi",5.8,25.0
tt0114950,videoGame,Wing Commander IV: The Price of Freedom,Wing Commander IV: The Price of Freedom,0,1995,\N,\N,"Action,Adventure,Sci-Fi",8.8,810.0
tt0115141,videoGame,Command & Conquer: Red Alert,Command & Conquer: Red Alert,0,1996,\N,\N,"Action,Sci-Fi,War",8.5,2432.0
tt0116113,videoGame,Disruptor,Disruptor,0,1996,\N,\N,"Action,Mystery,Sci-Fi",8.0,44.0
tt0117012,videoGame,Maximum Surge,Maximum Surge,0,1996,\N,97,"Action,Sci-Fi",4.3,27.0
tt0117391,videoGame,Privateer 2: The Darkening,Privateer 2: The Darkening,0,1996,\N,\N,"Action,Adventure,Mystery",8.4,322.0
tt0117483,videoGame,Ripper,Ripper,0,1996,\N,\N,"Adventure,Crime,Horror",7.4,271.0
tt0117704,videoGame,Soviet Strike,Soviet Strike,0,1996,\N,\N,\N,7.6,59.0
tt0117934,videoGame,SSN,SSN,0,1996,\N,\N,Action,8.2,14.0
tt0117940,videoGame,Toonstruck,Toonstruck,0,1996,\N,\N,"Adventure,Comedy",8.7,359.0
tt0118222,videoGame,Zork: Nemesis,Zork: Nemesis,0,1996,\N,\N,"Adventure,Fantasy,Mystery",8.4,102.0
tt0119498,videoGame,The Last Express,The Last Express,0,1997,\N,\N,"Crime,Drama,Mystery",8.8,259.0
tt0120519,videoGame,Wing Commander: Prophecy,Wing Commander: Prophecy,0,1997,\N,\N,"Action,Adventure,Sci-Fi",8.0,433.0
tt0124140,videoGame,Star Trek: Borg,Star Trek: Borg,0,1996,\N,\N,"Action,Adventure,Sci-Fi",7.3,215.0
tt0124141,videoGame,Star Trek: Klingon,Star Trek: Klingon,0,1996,\N,\N,"Action,Adventure,Sci-Fi",7.3,142.0
tt0124142,videoGame,Steven Spielberg's Director's Chair,Steven Spielberg's Director's Chair,0,1996,\N,\N,Family,6.0,322.0
tt0125051,videoGame,Creature Crunch,Creature Crunch,0,1996,\N,\N,"Adventure,Comedy",7.7,14.0
tt0125065,videoGame,Dragon's Lair,Dragon's Lair,0,1983,\N,\N,"Adventure,Fantasy",7.4,706.0
tt0125066,videoGame,Dragon's Lair II: Timewarp,Dragon's Lair II: Time Warp,0,1991,\N,\N,"Action,Adventure,Comedy",7.4,274.0
tt0125516,videoGame,Star Trek: Starfleet Academy,Star Trek: Starfleet Academy,0,1997,\N,\N,"Action,Adventure,Sci-Fi",7.5,241.0
